timestamp,source,sampling_point,analyte,value,unit
2023-01-01 02:00:00,LIMS,Установка 'Гидроочистка'.. Точка отбора '2'. Продукт 'Дизельное топливо',CloudPoint,-6.0,C
2023-01-01 10:00:00,LIMS,Установка 'Гидроочистка'.. Точка отбора '2'. Продукт 'Дизельное топливо',95%.T,337.0,C
2023-01-01 10:00:00,LIMS,Установка 'Гидроочистка'.. Точка отбора '2'. Продукт 'Дизельное топливо',90%.T,325.0,C
2023-01-01 10:00:00,LIMS,Установка 'Гидроочистка'.. Точка отбора '2'. Продукт 'Дизельное топливо',FlashPoint,72.0,C
2023-01-01 10:00:00,LIMS,Установка 'АВТ'. Точка отбора '3'. Продукт 'Дизельное топливо',90%.T,329.0,C
2023-01-01 10:00:00,LIMS,Установка 'АВТ'. Точка отбора '3'. Продукт 'Дизельное топливо',50%.T,273.0,C
2023-01-01 10:00:00,LIMS,Установка 'Гидроочистка'.. Точка отбора '2'. Продукт 'Дизельное топливо',D15,842.9000244140625,kg/m3
2023-01-01 10:00:00,LIMS,Установка 'АВТ'. Точка отбора '3'. Продукт 'Дизельное топливо',95%.T,342.0,C
2023-01-01 10:00:00,LIMS,Установка 'Гидроочистка'.. Точка отбора '2'. Продукт 'Дизельное топливо',50%.T,271.0,C
2023-01-01 10:00:00,LIMS,Установка 'АВТ'. Точка отбора '3'. Продукт 'Дизельное топливо',CloudPoint,-5.0,C
2023-01-01 10:00:00,LIMS,Установка 'Гидроочистка'.. Точка отбора '2'. Продукт 'Дизельное топливо',CloudPoint,-5.0,C
2023-01-01 10:00:00,LIMS,Установка 'Гидроочистка'. Точка отбора '1'. Продукт 'ФРАКЦ_ДИЗ'.,90%.T,328.0,C
2023-01-01 10:00:00,LIMS,Установка 'Гидроочистка'.. Точка отбора '2'. Продукт 'Дизельное топливо',Mg.Sulfur,8.199999809265137,mg/kg
2023-01-01 10:00:00,LIMS,Установка 'Гидроочистка'. Точка отбора '1'. Продукт 'ФРАКЦ_ДИЗ'.,50%.T,274.0,C
2023-01-01 10:00:00,LIMS,Установка 'Гидроочистка'. Точка отбора '1'. Продукт 'ФРАКЦ_ДИЗ'.,95%.T,341.0,C
2023-01-01 10:00:00,LIMS,Установка 'Гидроочистка'. Точка отбора '1'. Продукт 'ФРАКЦ_ДИЗ'.,CloudPoint,-5.0,C
2023-01-01 14:00:00,LIMS,Установка 'АВТ'. Точка отбора '1'. Продукт 'Дизельное топливо',PourPoint,-5.0,C
2023-01-02 10:00:00,LIMS,Установка 'Гидроочистка'.. Точка отбора '2'. Продукт 'Дизельное топливо',95%.T,342.0,C
2023-01-02 10:00:00,LIMS,Установка 'Гидроочистка'.. Точка отбора '2'. Продукт 'Дизельное топливо',90%.T,327.0,C
2023-01-02 10:00:00,LIMS,Установка 'АВТ'. Точка отбора '3'. Продукт 'Дизельное топливо',50%.T,275.0,C
2023-01-02 10:00:00,LIMS,Установка 'Гидроочистка'.. Точка отбора '2'. Продукт 'Дизельное топливо',50%.T,273.0,C
2023-01-02 10:00:00,LIMS,Установка 'Гидроочистка'. Точка отбора '1'. Продукт 'ФРАКЦ_ДИЗ'.,90%.T,330.0,C
2023-01-02 10:00:00,LIMS,Установка 'АВТ'. Точка отбора '3'. Продукт 'Дизельное топливо',D15,847.0,kg/m3
2023-01-02 10:00:00,LIMS,Установка 'Гидроочистка'. Точка отбора '1'. Продукт 'ФРАКЦ_ДИЗ'.,95%.T,345.0,C
2023-01-02 10:00:00,LIMS,Установка 'Гидроочистка'.. Точка отбора '2'. Продукт 'Дизельное топливо',CloudPoint,-5.0,C
2023-01-02 10:00:00,LIMS,Установка 'АВТ'. Точка отбора '3'. Продукт 'Дизельное топливо',CloudPoint,-5.0,C
2023-01-02 10:00:00,LIMS,Установка 'Гидроочистка'.. Точка отбора '2'. Продукт 'Дизельное топливо',D15,836.7999877929688,kg/m3
