area,tag,description,is_control_candidate,is_critical_for_tests
24-2000,T5,Полисеп. Реактор Р-201. Температура ГСС на выходе,True,True
AVT,T6,Температура низ К1,True,False
24-2000,T6,"Поточный анализатор серы в дизельном топливе между коллекторами нагнетания и приёма Н-202/1,2",True,False
AVT,F9,Расход обессоленной нефти (2-й ход) (Нефть обессоленная в Т-10/2),True,True
24-2000,F9,Блок стабилизации. Расход газа поддува на входе в К-201. Массовый расход (АС КУБ),True,True
24-2000,P13,Трубопровод на выходе из реактора Р-202: Качество продукции по S,False,True
AVT,F14,Расход 1 ЦО в К2,True,False
24-2000,F14,"Блок стабилизации. Температура верха колонны К-201 /бензин,УВГ,Н2S",True,False
24-2000,F15,Полисеп. Расход квенча в реактор Р-202,True,False
AVT,F26,Расход пара в К6,True,True
24-2000,F26,Расход сырья на установку (объемный),True,True
AVT,F30,Расход фр.290-350°С с установки,True,True
AVT,F31,Расход нефтепродукта в П3,True,False
AVT,F32,Расход фр.240-290°С с установки,True,False
AVT,F34,Расход фр.150-250°С с установки,True,False
AVT,F45,Расход холодного гудрона в К10,True,False
AVT,F59,Расход фр.420-500°С с установки. Объемный расход,True,False
