prediction_origin,previous,previous_age_hours,previous_sample_time,previous_available_at,median3,d15,d15_sample_time,d15_available_at,t50,t50_sample_time,t50_available_at,t90,t90_sample_time,t90_available_at,feed_t95,feed_t95_sample_time,feed_t95_available_at,product_t95,product_t95_sample_time,product_t95_available_at,T6,T6_sample_time,F9,F9_sample_time,P13,P13_sample_time,F2,F2_sample_time,index,target_time,target
2023-01-01 10:00:00,,,,,,,,,,,,,,,,,,,,,359.2955627441406,2023-01-01 10:00:00,179.37631225585938,2023-01-01 10:00:00,3.7150940895080566,2023-01-01 10:00:00,87857.75,2023-01-01 10:00:00,,2023-01-01 10:00:00,337.0
2023-01-02 10:00:00,337.0,24.0,2023-01-01 10:00:00,2023-01-01 14:00:00,337.0,842.9000244140625,2023-01-01 10:00:00,2023-01-01 14:00:00,271.0,2023-01-01 10:00:00,2023-01-01 14:00:00,325.0,2023-01-01 10:00:00,2023-01-01 14:00:00,341.0,2023-01-01 10:00:00,2023-01-01 14:00:00,337.0,2023-01-01 10:00:00,2023-01-01 14:00:00,348.14947509765625,2023-01-02 10:00:00,157.635498046875,2023-01-02 10:00:00,3.9238553047180176,2023-01-02 10:00:00,89502.359375,2023-01-02 10:00:00,50.42320625367586,2023-01-02 10:00:00,342.0
2023-01-03 10:00:00,342.0,24.0,2023-01-02 10:00:00,2023-01-02 14:00:00,339.5,836.7999877929688,2023-01-02 10:00:00,2023-01-02 14:00:00,273.0,2023-01-02 10:00:00,2023-01-02 14:00:00,327.0,2023-01-02 10:00:00,2023-01-02 14:00:00,345.0,2023-01-02 10:00:00,2023-01-02 14:00:00,342.0,2023-01-02 10:00:00,2023-01-02 14:00:00,360.6617736816406,2023-01-03 10:00:00,178.85556030273438,2023-01-03 10:00:00,3.682131767272949,2023-01-03 10:00:00,88233.828125,2023-01-03 10:00:00,52.9104648814706,2023-01-03 10:00:00,342.0
2023-01-04 10:00:00,342.0,24.0,2023-01-03 10:00:00,2023-01-03 14:00:00,342.0,841.2999877929688,2023-01-03 10:00:00,2023-01-03 14:00:00,272.0,2023-01-03 10:00:00,2023-01-03 14:00:00,328.0,2023-01-03 10:00:00,2023-01-03 14:00:00,341.0,2023-01-03 10:00:00,2023-01-03 14:00:00,342.0,2023-01-03 10:00:00,2023-01-03 14:00:00,355.952392578125,2023-01-04 10:00:00,173.3385467529297,2023-01-04 10:00:00,3.795890092849731,2023-01-04 10:00:00,88361.203125,2023-01-04 10:00:00,51.16928837419971,2023-01-04 10:00:00,339.0
2023-01-05 10:00:00,339.0,24.0,2023-01-04 10:00:00,2023-01-04 14:00:00,342.0,841.0,2023-01-04 10:00:00,2023-01-04 14:00:00,272.0,2023-01-04 10:00:00,2023-01-04 14:00:00,325.0,2023-01-04 10:00:00,2023-01-04 14:00:00,345.0,2023-01-04 10:00:00,2023-01-04 14:00:00,339.0,2023-01-04 10:00:00,2023-01-04 14:00:00,355.4911499023437,2023-01-05 10:00:00,154.33493041992188,2023-01-05 10:00:00,3.806511640548706,2023-01-05 10:00:00,89497.3203125,2023-01-05 10:00:00,51.2707055195948,2023-01-05 10:00:00,340.0
2023-01-06 10:00:00,340.0,24.0,2023-01-05 10:00:00,2023-01-05 14:00:00,340.0,839.0999755859375,2023-01-05 10:00:00,2023-01-05 14:00:00,274.0,2023-01-05 10:00:00,2023-01-05 14:00:00,326.0,2023-01-05 10:00:00,2023-01-05 14:00:00,347.0,2023-01-05 10:00:00,2023-01-05 14:00:00,340.0,2023-01-05 10:00:00,2023-01-05 14:00:00,359.2510681152344,2023-01-06 10:00:00,222.19873046875,2023-01-06 10:00:00,4.01240873336792,2023-01-06 10:00:00,90516.53125,2023-01-06 10:00:00,52.32443475279706,2023-01-06 10:00:00,348.0
2023-01-07 10:00:00,348.0,24.0,2023-01-06 10:00:00,2023-01-06 14:00:00,340.0,835.2999877929688,2023-01-06 10:00:00,2023-01-06 14:00:00,268.0,2023-01-06 10:00:00,2023-01-06 14:00:00,328.0,2023-01-06 10:00:00,2023-01-06 14:00:00,356.0,2023-01-06 10:00:00,2023-01-06 14:00:00,348.0,2023-01-06 10:00:00,2023-01-06 14:00:00,373.0767517089844,2023-01-07 10:00:00,224.14602661132807,2023-01-07 10:00:00,3.777342796325684,2023-01-07 10:00:00,89901.3203125,2023-01-07 10:00:00,52.380230845608025,2023-01-07 10:00:00,347.0
2023-01-08 10:00:00,347.0,24.0,2023-01-07 10:00:00,2023-01-07 14:00:00,347.0,845.0,2023-01-07 10:00:00,2023-01-07 14:00:00,278.0,2023-01-07 10:00:00,2023-01-07 14:00:00,332.0,2023-01-07 10:00:00,2023-01-07 14:00:00,348.0,2023-01-07 10:00:00,2023-01-07 14:00:00,347.0,2023-01-07 10:00:00,2023-01-07 14:00:00,365.6673889160156,2023-01-08 10:00:00,202.60536193847656,2023-01-08 10:00:00,3.99856162071228,2023-01-08 10:00:00,92246.0546875,2023-01-08 10:00:00,51.12724408851716,2023-01-08 10:00:00,343.0
2023-01-09 10:00:00,343.0,24.0,2023-01-08 10:00:00,2023-01-08 14:00:00,347.0,842.5999755859375,2023-01-08 10:00:00,2023-01-08 14:00:00,273.0,2023-01-08 10:00:00,2023-01-08 14:00:00,328.0,2023-01-08 10:00:00,2023-01-08 14:00:00,347.0,2023-01-08 10:00:00,2023-01-08 14:00:00,343.0,2023-01-08 10:00:00,2023-01-08 14:00:00,345.9353942871094,2023-01-09 10:00:00,157.5078887939453,2023-01-09 10:00:00,3.849400997161865,2023-01-09 10:00:00,88578.4765625,2023-01-09 10:00:00,50.936626535982555,2023-01-09 10:00:00,343.0
2023-01-10 10:00:00,343.0,24.0,2023-01-09 10:00:00,2023-01-09 14:00:00,343.0,836.0,2023-01-09 10:00:00,2023-01-09 14:00:00,273.0,2023-01-09 10:00:00,2023-01-09 14:00:00,329.0,2023-01-09 10:00:00,2023-01-09 14:00:00,349.0,2023-01-09 10:00:00,2023-01-09 14:00:00,343.0,2023-01-09 10:00:00,2023-01-09 14:00:00,350.11407470703125,2023-01-10 10:00:00,167.45623779296875,2023-01-10 10:00:00,3.973498106002808,2023-01-10 10:00:00,88286.375,2023-01-10 10:00:00,53.18680541475044,2023-01-10 10:00:00,343.0
