month,horizon,cost_ratio,policy,n,events,tp,fp,fn,tn,recall,precision,false_alarm_rate,alarm_share,total_cost,cost_per_100
2025-01,0,1,logistic_empirical,31,1,0,0,1,30,0.0,,0.0,0.0,1.0,3.225806451612903
2025-02,0,1,logistic_empirical,29,8,1,0,7,21,0.125,1.0,0.0,0.034482758620689655,7.0,24.137931034482758
2025-03,0,1,logistic_empirical,33,12,4,1,8,20,0.3333333333333333,0.8,0.047619047619047616,0.15151515151515152,9.0,27.27272727272727
2025-04,0,1,logistic_empirical,31,5,2,3,3,23,0.4,0.4,0.11538461538461539,0.16129032258064516,6.0,19.35483870967742
2025-05,0,1,logistic_empirical,34,4,0,1,4,29,0.0,0.0,0.03333333333333333,0.029411764705882353,5.0,14.705882352941178
2025-06,0,1,logistic_empirical,32,2,0,0,2,30,0.0,,0.0,0.0,2.0,6.25
2025-07,0,1,logistic_empirical,33,1,0,0,1,32,0.0,,0.0,0.0,1.0,3.0303030303030303
2025-08,0,1,logistic_empirical,31,5,0,0,5,26,0.0,,0.0,0.0,5.0,16.129032258064516
2025-09,0,1,logistic_empirical,32,7,0,0,7,25,0.0,,0.0,0.0,7.0,21.875
2025-10,0,1,logistic_empirical,44,13,1,1,12,30,0.07692307692307693,0.5,0.03225806451612903,0.045454545454545456,13.0,29.545454545454547
2025-11,0,1,logistic_empirical,41,9,2,2,7,30,0.2222222222222222,0.5,0.0625,0.0975609756097561,9.0,21.951219512195124
2025-12,0,1,logistic_empirical,36,5,0,0,5,31,0.0,,0.0,0.0,5.0,13.88888888888889
2025-01,0,1,logistic_bayes,31,1,0,0,1,30,0.0,,0.0,0.0,1.0,3.225806451612903
2025-02,0,1,logistic_bayes,29,8,1,0,7,21,0.125,1.0,0.0,0.034482758620689655,7.0,24.137931034482758
2025-03,0,1,logistic_bayes,33,12,3,1,9,20,0.25,0.75,0.047619047619047616,0.12121212121212122,10.0,30.303030303030305
2025-04,0,1,logistic_bayes,31,5,2,2,3,24,0.4,0.5,0.07692307692307693,0.12903225806451613,5.0,16.129032258064516
2025-05,0,1,logistic_bayes,34,4,0,1,4,29,0.0,0.0,0.03333333333333333,0.029411764705882353,5.0,14.705882352941178
2025-06,0,1,logistic_bayes,32,2,0,0,2,30,0.0,,0.0,0.0,2.0,6.25
2025-07,0,1,logistic_bayes,33,1,0,0,1,32,0.0,,0.0,0.0,1.0,3.0303030303030303
2025-08,0,1,logistic_bayes,31,5,0,0,5,26,0.0,,0.0,0.0,5.0,16.129032258064516
2025-09,0,1,logistic_bayes,32,7,0,0,7,25,0.0,,0.0,0.0,7.0,21.875
2025-10,0,1,logistic_bayes,44,13,1,0,12,31,0.07692307692307693,1.0,0.0,0.022727272727272728,12.0,27.27272727272727
2025-11,0,1,logistic_bayes,41,9,1,1,8,31,0.1111111111111111,0.5,0.03125,0.04878048780487805,9.0,21.951219512195124
