candidate,year,horizon,reason,rows
v4r,2024,0,outside_training_support,40
v4r,2024,0,too_many_missing_features,1
v4r,2024,60,outside_training_support,42
v4r,2024,60,too_many_missing_features,2
v4r,2024,120,outside_training_support,38
v4r,2024,120,too_many_missing_features,3
v4r,2024,180,outside_training_support,44
v4r,2024,180,too_many_missing_features,3
v4r,2025,0,outside_training_support,10
v4r,2025,60,outside_training_support,8
v4r,2025,120,outside_training_support,7
v4r,2025,180,outside_training_support,6
v4r,2026,0,outside_training_support,15
v4r,2026,0,no_control_telemetry,4
v4r,2026,0,too_many_missing_features,4
v4r,2026,60,outside_training_support,15
v4r,2026,60,no_control_telemetry,4
v4r,2026,60,too_many_missing_features,4
v4r,2026,120,outside_training_support,15
v4r,2026,120,no_control_telemetry,4
v4r,2026,120,too_many_missing_features,4
v4r,2026,180,outside_training_support,15
v4r,2026,180,no_control_telemetry,4
v4r,2026,180,too_many_missing_features,4
v3_saved,2024,0,outside_training_support,9
v3_saved,2024,0,too_many_missing_features,2
v3_saved,2024,60,outside_training_support,14
v3_saved,2024,60,too_many_missing_features,4
v3_saved,2024,120,outside_training_support,13
v3_saved,2024,120,too_many_missing_features,4
v3_saved,2024,180,outside_training_support,17
v3_saved,2024,180,too_many_missing_features,4
v3_saved,2025,0,outside_training_support,9
v3_saved,2025,60,outside_training_support,6
v3_saved,2025,120,outside_training_support,3
v3_saved,2025,180,outside_training_support,5
v3_saved,2026,0,outside_training_support,14
v3_saved,2026,0,no_control_telemetry,4
v3_saved,2026,0,too_many_missing_features,4
v3_saved,2026,60,outside_training_support,13
v3_saved,2026,60,no_control_telemetry,4
v3_saved,2026,60,too_many_missing_features,4
v3_saved,2026,120,outside_training_support,13
v3_saved,2026,120,no_control_telemetry,4
v3_saved,2026,120,too_many_missing_features,4
v3_saved,2026,180,outside_training_support,13
v3_saved,2026,180,too_many_missing_features,5
v3_saved,2026,180,no_control_telemetry,4
v3_refit,2024,0,outside_training_support,42
v3_refit,2024,0,too_many_missing_features,2
v3_refit,2024,60,outside_training_support,41
v3_refit,2024,60,too_many_missing_features,4
v3_refit,2024,120,outside_training_support,39
v3_refit,2024,120,too_many_missing_features,4
v3_refit,2024,180,outside_training_support,44
v3_refit,2024,180,too_many_missing_features,4
v3_refit,2025,0,outside_training_support,10
v3_refit,2025,60,outside_training_support,8
v3_refit,2025,120,outside_training_support,5
v3_refit,2025,180,outside_training_support,6
v3_refit,2026,0,outside_training_support,14
v3_refit,2026,0,no_control_telemetry,4
v3_refit,2026,0,too_many_missing_features,4
v3_refit,2026,60,outside_training_support,13
v3_refit,2026,60,no_control_telemetry,4
v3_refit,2026,60,too_many_missing_features,4
v3_refit,2026,120,outside_training_support,13
v3_refit,2026,120,no_control_telemetry,4
v3_refit,2026,120,too_many_missing_features,4
v3_refit,2026,180,outside_training_support,13
v3_refit,2026,180,too_many_missing_features,5
v3_refit,2026,180,no_control_telemetry,4
