candidate,period,horizon,rows,accepted,coverage,abstained_above_10,common_rows,own_mae,own_rmse,own_brier,own_auc
v4r,2024,0,386,346,0.8963730569948186,6,341,1.1288978368667701,2.316300444687537,0.08433054494121574,0.8135449840764332
v4r,2024,60,386,344,0.8911917098445595,7,342,1.1295591004109333,1.8165212946844895,0.08597544448132183,0.7397712047820262
v4r,2024,120,385,347,0.9012987012987013,9,344,1.187826851860762,1.7153331031832943,0.0784213279873792,0.6957276078941661
v4r,2024,180,385,341,0.8857142857142857,11,339,1.3088071266950287,1.8943905679138662,0.0725923408058352,0.6867185656994574
v4r,2025,0,417,407,0.9760191846522782,4,407,1.0680855296033578,2.0794715959204253,0.13210653065620487,0.7562189054726368
v4r,2025,60,417,409,0.9808153477218226,4,409,1.1730924774608193,1.820545243270593,0.1416266892185786,0.6932492581602374
v4r,2025,120,417,410,0.9832134292565947,4,410,1.257518075706719,1.8574414822217098,0.1423414691458326,0.6450731426692965
v4r,2025,180,417,411,0.9856115107913669,4,411,1.5816500983634494,5.819942008444624,0.1464338841300979,0.6086733857751557
v4r,dev_2024_2025,0,803,753,0.937733499377335,10,748,1.0960285021307692,2.191473875546669,0.11015368728650203,0.7899282920469362
v4r,dev_2024_2025,60,803,753,0.937733499377335,11,751,1.1532047195522395,1.8187080499741675,0.11620301300394867,0.7223749066467513
v4r,dev_2024_2025,120,802,757,0.9438902743142145,13,754,1.2255724288447019,1.7936987934657374,0.11304121949988369,0.6798252233759962
v4r,dev_2024_2025,180,802,752,0.9376558603491272,15,750,1.457927421051041,4.487724242482617,0.11294988642587772,0.5966943554998685
v4r,audit_2026,0,253,234,0.924901185770751,1,234,1.080680373484311,2.158357614205549,0.09916516586645237,0.8650394831299354
v4r,audit_2026,60,253,234,0.924901185770751,2,234,1.1940507723059843,1.915622924330621,0.11781353327546315,0.7033823529411765
v4r,audit_2026,120,253,234,0.924901185770751,2,234,1.3053198468466398,2.055923221024008,0.1354158115278149,0.6286764705882353
v4r,audit_2026,180,253,234,0.924901185770751,2,234,1.4038076924691392,2.182793068900635,0.13523562479649445,0.5760294117647059
naive_previous_lab,2024,0,386,386,1.0,0,341,13.419948193693408,152.28310601808369,,
naive_previous_lab,2024,60,386,386,1.0,0,342,13.338341976694492,152.28042308238452,,
naive_previous_lab,2024,120,385,385,1.0,0,344,13.384675334335922,152.4780935520369,,
naive_previous_lab,2024,180,385,385,1.0,0,339,7.735064949927392,107.82697131370178,,
naive_previous_lab,2025,0,417,417,1.0,0,407,2.0832133704809834,6.4887672471737,,
naive_previous_lab,2025,60,417,417,1.0,0,409,2.0702637345384924,6.484064560047247,,
naive_previous_lab,2025,120,417,417,1.0,0,410,2.0076738129988563,6.308347781809726,,
naive_previous_lab,2025,180,417,417,1.0,0,411,2.0052757291770953,6.316811713878751,,
naive_previous_lab,dev_2024_2025,0,803,803,1.0,0,748,7.532752152249347,105.68493991808907,,
naive_previous_lab,dev_2024_2025,60,803,803,1.0,0,751,7.4867994773432445,105.68293170972483,,
naive_previous_lab,dev_2024_2025,120,802,802,1.0,0,754,7.469201974737971,105.74329412294081,,
naive_previous_lab,dev_2024_2025,180,802,802,1.0,0,750,4.755860330160717,74.84732290975633,,
naive_previous_lab,audit_2026,0,253,253,1.0,0,234,1.8122529636612053,2.616404613311652,,
naive_previous_lab,audit_2026,60,253,253,1.0,0,234,1.8885375406784501,2.8526390152603556,,
naive_previous_lab,audit_2026,120,253,253,1.0,0,234,1.9181818099243368,2.917651057521696,,
naive_previous_lab,audit_2026,180,253,253,1.0,0,234,1.846640302670803,2.764483941221899,,
anchored_q21,2024,0,386,386,1.0,0,341,7.003460199477244,107.64656965778902,,
anchored_q21,2024,60,386,386,1.0,0,342,7.4585174431763805,107.66703213633141,,
anchored_q21,2024,120,385,385,1.0,0,344,7.544281541527093,107.81988400421764,,
anchored_q21,2024,180,385,385,1.0,0,339,7.769265385107559,107.83350060748293,,
anchored_q21,2025,0,417,417,1.0,0,407,1.5642629955788787,6.321823947965356,,
anchored_q21,2025,60,417,417,1.0,0,409,1.8258287314650157,5.7524493748835654,,
anchored_q21,2025,120,417,417,1.0,0,410,2.019448956644697,5.687518655299515,,
anchored_q21,2025,180,417,417,1.0,0,411,2.3090015561937043,6.591586782550629,,
anchored_q21,dev_2024_2025,0,803,803,1.0,0,748,4.178870866942228,74.7727999456639,,
anchored_q21,dev_2024_2025,60,803,803,1.0,0,751,4.533447464616431,74.76308847849134,,
anchored_q21,dev_2024_2025,120,802,802,1.0,0,754,4.671644150135622,74.81617626353456,,
anchored_q21,dev_2024_2025,180,802,802,1.0,0,750,4.9302005264329,74.86415647240725,,
anchored_q21,audit_2026,0,253,253,1.0,0,234,1.1787731665126457,2.716415299465845,,
anchored_q21,audit_2026,60,253,253,1.0,0,234,1.3923153315264638,2.2305653491242756,,
anchored_q21,audit_2026,120,253,253,1.0,0,234,1.7134186412898604,2.816226674704062,,
anchored_q21,audit_2026,180,253,253,1.0,0,234,1.9376070034460744,3.1290538098274605,,
anchored_pak,2024,0,386,386,1.0,0,341,7.526676331732713,107.69090295873829,,
anchored_pak,2024,60,386,386,1.0,0,342,7.437179276544604,107.6905004647553,,
anchored_pak,2024,120,385,385,1.0,0,344,7.518325419721972,107.82754758010005,,
anchored_pak,2024,180,385,385,1.0,0,339,7.7197774474555825,107.83032631691796,,
anchored_pak,2025,0,417,417,1.0,0,407,1.66000516840594,6.595387707505759,,
anchored_pak,2025,60,417,417,1.0,0,409,1.684933636924155,6.340079137596254,,
anchored_pak,2025,120,417,417,1.0,0,410,1.7782032700846615,6.174271104202011,,
anchored_pak,2025,180,417,417,1.0,0,411,1.9049458610925742,6.256011531038101,,
anchored_pak,dev_2024_2025,0,803,803,1.0,0,748,4.480098654139606,74.81574498211296,,
anchored_pak,dev_2024_2025,60,803,803,1.0,0,751,4.450023072657023,74.80400397280884,,
anchored_pak,dev_2024_2025,120,802,802,1.0,0,754,4.5337481922921,74.84153686612703,,
anchored_pak,dev_2024_2025,180,802,802,1.0,0,750,4.696355039084791,74.84698799711167,,
anchored_pak,audit_2026,0,253,253,1.0,0,234,1.2670720560532625,2.279385963693077,,
anchored_pak,audit_2026,60,253,253,1.0,0,234,1.5510718187265717,2.5525580198383526,,
anchored_pak,audit_2026,120,253,253,1.0,0,234,1.7704250003764592,2.7569948514058296,,
anchored_pak,audit_2026,180,253,253,1.0,0,234,1.9361132477681313,2.971220425553637,,
v3_saved,2024,0,386,377,0.9766839378238342,2,341,1.4257665404026867,5.30322086835836,0.08067065888716549,0.8120723362658846
v3_saved,2024,60,386,371,0.961139896373057,6,342,1.285361547120431,1.9736794417829184,0.09011193212631839,0.7393989675516224
v3_saved,2024,120,385,372,0.9662337662337662,5,344,1.4327075385657873,2.0666324551313378,0.08441164229772063,0.7125681594708143
v3_saved,2024,180,385,368,0.9558441558441558,5,339,1.593562737799185,2.2252906723252908,0.09020849243419767,0.5985526910900045
v3_saved,2025,0,417,408,0.9784172661870504,4,407,1.0740325463063833,1.8880704812746887,0.12672387566795637,0.7547123015873016
v3_saved,2025,60,417,411,0.9856115107913669,3,409,1.2526007410187132,2.5228585283720886,0.13626498753358698,0.7128556375131717
v3_saved,2025,120,417,414,0.9928057553956835,3,410,1.3859127829173779,2.5483690163325545,0.14174437437128795,0.6248945486683003
v3_saved,2025,180,417,412,0.988009592326139,3,411,1.5692352747423604,5.78587298737315,0.14428162425390292,0.6012850042429385
v3_saved,dev_2024_2025,0,803,785,0.9775840597758406,6,748,1.2429544772290666,3.9191263297772676,0.10460659830953832,0.7849991793861809
v3_saved,dev_2024_2025,60,803,782,0.9738480697384807,9,751,1.268143271790756,2.2788744973814943,0.11436884487873193,0.7255820496588591
v3_saved,dev_2024_2025,120,802,786,0.9800498753117207,8,754,1.408059919178457,2.3328043309316997,0.11460979888608817,0.6592744173140954
v3_saved,dev_2024_2025,180,802,780,0.972568578553616,8,750,1.5807128470563494,4.474221382085443,0.1187701979594779,0.5753317283466771
v3_saved,audit_2026,0,253,235,0.9288537549407114,1,234,1.174560584033598,2.0505748878247885,0.11235398267086129,0.8257142857142857
v3_saved,audit_2026,60,253,236,0.932806324110672,2,234,1.2803780482908798,1.9962040651415944,0.11481128821114137,0.7012230634828188
v3_saved,audit_2026,120,253,236,0.932806324110672,2,234,1.389362069393034,2.1644363958227606,0.12622839278319245,0.6333721607454863
v3_saved,audit_2026,180,253,236,0.932806324110672,2,234,1.451736738376258,2.1860578056877973,0.12340508025039003,0.5947874199184624
v3_refit,2024,0,386,344,0.8911917098445595,5,341,1.3682431265407515,5.387424859469378,0.08585871366064832,0.8048816135632856
v3_refit,2024,60,386,345,0.8937823834196891,7,342,1.1807642413394162,1.793745283190033,0.09071536719072755,0.7325868091226628
v3_refit,2024,120,385,346,0.8987012987012987,10,344,1.3081309041316376,1.8351243283654952,0.08617637862130625,0.6950808625336927
