at,status,reasons,forecast_status,forecast_model,cetane_age_days,t95_age_days,cetane_fresh,t95_fresh,regime_class,model,recommended,blocked_only_by_cn_t95_staleness,research_relaxed_upper_bound,year,cetane_age_bin,t95_age_bin
2024-01-01 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,24.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-01 19:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale)|Сера в конце горизонта превышает обязательный предел 10 мг/кг|Цель по сере не достигнута в выбранном горизонте,abstain,v3,25.375,0.375,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-02 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,25.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-03 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,26.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-04 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,27.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-05 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,28.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-06 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,29.875,0.875,False,True,normal,v3,False,False,False,2024,7-30d,<=2d
2024-01-07 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,30.875,0.875,False,True,normal,v3,False,False,False,2024,30-60d,<=2d
2024-01-08 09:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,31.958333333333332,0.9583333333333334,False,True,normal,v3,False,False,False,2024,30-60d,<=2d
2024-01-08 11:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,32.041666666666664,1.0416666666666667,False,True,normal,v3,False,False,False,2024,30-60d,<=2d
2024-01-08 13:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,32.125,1.125,False,True,normal,v3,False,False,False,2024,30-60d,<=2d
2024-01-09 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|cetane: измерение не свежее (stale),abstain,v3,32.875,0.7916666666666666,False,True,normal,v3,False,False,False,2024,30-60d,<=2d
2024-01-10 07:00:00,abstain,Нет допустимого модельного прогноза для решения по наблюдаемым данным|Свежие поточные анализаторы серы расходятся; требуется проверка источников|cetane: измерение не свежее (stale),abstain,v3,33.875,0.875,False,True,normal,v3,False,False,False,2024,30-60d,<=2d
