model,cetane_age_bin,t95_age_bin,regime_class,origins,recommended_48h,coverage_48h,blocked_only_by_cn_t95_staleness,research_relaxed_upper_bound,coverage_research_upper_bound,forecast_ok
v3,2-7d,<=2d,normal,158.0,0.0,0.0,26.0,26.0,0.16455696202531644,42.0
v3,30-60d,30-60d,normal,5.0,0.0,0.0,0.0,0.0,0.0,0.0
v3,30-60d,7-30d,normal,5.0,0.0,0.0,3.0,0.0,0.0,3.0
v3,30-60d,<=2d,normal,186.0,0.0,0.0,45.0,45.0,0.24193548387096775,57.0
v3,7-30d,2-7d,normal,3.0,0.0,0.0,1.0,1.0,0.3333333333333333,1.0
v3,7-30d,7-30d,normal,1.0,0.0,0.0,0.0,0.0,0.0,0.0
v3,7-30d,<=2d,normal,588.0,0.0,0.0,58.0,58.0,0.09863945578231292,102.0
v3,<=2d,<=2d,normal,56.0,7.0,0.125,0.0,7.0,0.125,11.0
v3,>60d,<=2d,normal,53.0,0.0,0.0,9.0,0.0,0.0,20.0
v4r,2-7d,<=2d,normal,158.0,0.0,0.0,108.0,108.0,0.6835443037974683,146.0
v4r,30-60d,30-60d,normal,5.0,0.0,0.0,1.0,0.0,0.0,1.0
v4r,30-60d,7-30d,normal,5.0,0.0,0.0,2.0,0.0,0.0,3.0
v4r,30-60d,<=2d,normal,186.0,0.0,0.0,140.0,140.0,0.7526881720430108,174.0
v4r,7-30d,2-7d,normal,3.0,0.0,0.0,2.0,2.0,0.6666666666666666,2.0
v4r,7-30d,7-30d,normal,1.0,0.0,0.0,0.0,0.0,0.0,0.0
v4r,7-30d,<=2d,normal,588.0,0.0,0.0,420.0,420.0,0.7142857142857143,554.0
v4r,<=2d,<=2d,normal,56.0,41.0,0.7321428571428571,0.0,41.0,0.7321428571428571,54.0
v4r,>60d,<=2d,normal,53.0,0.0,0.0,34.0,0.0,0.0,52.0
