period,horizon,candidate,reference,n,mae_delta,mae_delta_95ci,mae_reference,brier_delta,brier_delta_95ci
2024,0,v4r,v3_saved,341,0.04334469284861442,"[-0.010011363125734508, 0.0993277955945229]",1.09549008307409,0.0013322699364594361,"[-0.007612335591035621, 0.009622011083323587]"
2024,0,v4r,v3_refit,341,0.034524203848903784,"[-0.015884687304163165, 0.08596956152888038]",1.1043105720738007,-0.0010475922275729535,"[-0.009552407335490596, 0.00667205289379083]"
2024,0,v4r,naive_previous_lab,341,-0.5981153691666773,"[-0.8718619673448584, -0.33445627541294776]",1.7369501450893816,,
2024,0,naive_previous_lab,v3_saved,341,0.6414600620152918,"[0.41543064245825123, 0.8765142510470069]",1.09549008307409,,
2024,0,naive_previous_lab,v3_refit,341,0.6326395730155812,"[0.40528754869334155, 0.8715041093816944]",1.1043105720738007,,
2024,0,anchored_q21,v3_saved,341,0.0916367470441695,"[0.019547536895675722, 0.17376390139953915]",1.09549008307409,,
2024,0,anchored_q21,v3_refit,341,0.0828162580444589,"[0.014355736377090018, 0.15940464477992577]",1.1043105720738007,,
2024,0,anchored_q21,naive_previous_lab,341,-0.5498233149711221,"[-0.8402049960845275, -0.26840782151725323]",1.7369501450893816,,
2024,0,anchored_pak,v3_saved,341,0.271198372849763,"[0.10632655128369464, 0.41996071374062843]",1.09549008307409,,
2024,0,anchored_pak,v3_refit,341,0.26237788385005234,"[0.09330570383512683, 0.4133455271173765]",1.1043105720738007,,
2024,0,anchored_pak,naive_previous_lab,341,-0.37026168916552876,"[-0.6340375216887016, -0.14757017313540324]",1.7369501450893816,,
2024,0,v3_saved,v3_refit,341,-0.008820488999710637,"[-0.015436056417938906, -0.0024300484641483567]",1.1043105720738007,-0.0023798621640323905,"[-0.005023101415519375, 0.00011099655013857039]"
2024,0,v3_saved,naive_previous_lab,341,-0.6414600620152918,"[-0.8765142510470069, -0.4154306424582513]",1.7369501450893816,,
2024,0,v3_refit,v3_saved,341,0.008820488999710637,"[0.002430048464148355, 0.015436056417938906]",1.09549008307409,0.0023798621640323905,"[-0.00011099655013857248, 0.005023101415519374]"
2024,0,v3_refit,naive_previous_lab,341,-0.6326395730155812,"[-0.8715041093816944, -0.4052875486933418]",1.7369501450893816,,
2024,0,hgb_fixed,v3_saved,341,0.022395546767943565,"[-0.09270367169126395, 0.12503312553050933]",1.09549008307409,0.022075942778264638,"[0.010587855939803215, 0.03430677697089106]"
2024,0,hgb_fixed,v3_refit,341,0.013575057768232937,"[-0.10486803986510271, 0.1207333691635075]",1.1043105720738007,0.019696080614232246,"[0.008321802776242487, 0.03222655961506803]"
2024,0,hgb_fixed,naive_previous_lab,341,-0.6190645152473483,"[-0.8286796527131151, -0.4222841728446011]",1.7369501450893816,,
2024,60,v4r,v3_saved,342,-0.07040191451057934,"[-0.16360302025563786, 0.016970896708315596]",1.1920125181775394,-0.004331628513985106,"[-0.016136292983493547, 0.007566145454911147]"
2024,60,v4r,v3_refit,342,-0.053271983614396515,"[-0.14041735042418815, 0.030469990761645534]",1.1748825872813566,-0.004781518686093709,"[-0.01683348607049367, 0.0077774184969350004]"
2024,60,v4r,naive_previous_lab,342,-0.5482724362927301,"[-0.7697034522486355, -0.3333639908354753]",1.66988303995969,,
2024,60,naive_previous_lab,v3_saved,342,0.47787052178215067,"[0.2187404926824126, 0.7268645991229642]",1.1920125181775394,,
2024,60,naive_previous_lab,v3_refit,342,0.4950004526783336,"[0.2423379257338252, 0.7382604517602043]",1.1748825872813566,,
2024,60,anchored_q21,v3_saved,342,0.2561035098176203,"[0.12690843914439257, 0.4025795089632416]",1.1920125181775394,,
2024,60,anchored_q21,v3_refit,342,0.27323344071380307,"[0.14934949578042891, 0.41533974814517605]",1.1748825872813566,,
2024,60,anchored_q21,naive_previous_lab,342,-0.2217670119645305,"[-0.528991103113092, 0.09667602095001339]",1.66988303995969,,
2024,60,anchored_pak,v3_saved,342,0.04962875368912983,"[-0.09181734262827979, 0.18239149198971927]",1.1920125181775394,,
2024,60,anchored_pak,v3_refit,342,0.06675868458531264,"[-0.06997919578113539, 0.19671901671290073]",1.1748825872813566,,
2024,60,anchored_pak,naive_previous_lab,342,-0.42824176809302084,"[-0.6431110918609042, -0.19581097937861866]",1.66988303995969,,
2024,60,v3_saved,v3_refit,342,0.017129930896182817,"[0.006410424122305994, 0.028937092622916875]",1.1748825872813566,-0.00044989017210860367,"[-0.0032019848157286168, 0.0018716626701105641]"
2024,60,v3_saved,naive_previous_lab,342,-0.47787052178215067,"[-0.7268645991229643, -0.21874049268241272]",1.66988303995969,,
2024,60,v3_refit,v3_saved,342,-0.017129930896182817,"[-0.02893709262291688, -0.006410424122306009]",1.1920125181775394,0.00044989017210860367,"[-0.0018716626701105645, 0.003201984815728616]"
2024,60,v3_refit,naive_previous_lab,342,-0.4950004526783336,"[-0.7382604517602043, -0.2423379257338253]",1.66988303995969,,
2024,60,hgb_fixed,v3_saved,342,-0.06217531816912417,"[-0.20859928566756286, 0.05502994990948291]",1.1920125181775394,0.013269511294381772,"[-0.004432061451665994, 0.031182343682191253]"
