at,status,cause,selected,forecast_status,forecast_h,hold_probability,alarm,baseline_sulfur,cetane_last,cetane_lower_bound,t95,selected_sulfur,selected_probability,selected_loss,dT6,dF9_pct,dP13,additive_pct,conflicts,reason,consistency_failed,oracle_admissible_points,oracle_grid_points,oracle_best_loss,oracle_best_probability,oracle_best_changes
2026-01-01T03:00:00,recommendation,recommendation,hold,ok,8.841690951990843,0.1965322315704574,False,9.29217994484542,53.70000076293945,51.53124291544917,341.0,8.841690951990843,0.1965322315704574,0.24566528946307176,0.0,0.0,0.0,,economy_vs_quality:quality_priority;stability_vs_economy:hold,,0,798.0,4725.0,0.23261230490691892,0.127304901539938,"{""temperature"": 4.5, ""feed_rate_pct"": 0.0, ""pressure"": 0.0}"
2026-01-01T09:00:00,recommendation,recommendation,hold,ok,8.752332706930275,0.181251974712331,False,9.168459712137489,53.70000076293945,51.52182031707165,341.0,8.752332706930275,0.181251974712331,0.22918013222182831,0.0,0.0,0.0,,economy_vs_quality:quality_priority;stability_vs_economy:hold,,0,857.0,4725.0,0.21294772513934848,0.09866403413471625,"{""temperature"": 5.5, ""feed_rate_pct"": 0.0, ""pressure"": 0.0}"
2026-01-01T15:00:00,recommendation,recommendation,corrective_optimum,ok,8.952147779331925,0.23179252752669044,True,9.547247924607971,53.70000076293945,51.512438304752024,343.0,8.472147779331925,0.12609489632726723,0.25475446462709345,6.0,0.0,0.0,,economy_vs_quality:quality_priority;stability_vs_quality:corrective_action,,0,729.0,4725.0,0.2544459006082498,0.1324476663993821,"{""temperature"": 5.5, ""feed_rate_pct"": 0.0, ""pressure"": 0.0}"
2026-01-01T21:00:00,recommendation,recommendation,hold,ok,8.770649782381325,0.1833905770316535,False,8.75094768810943,53.70000076293945,51.503096358514625,343.0,8.770649782381325,0.1833905770316535,0.2292382212895669,0.0,0.0,0.0,,economy_vs_quality:quality_priority;stability_vs_economy:hold,,0,843.0,4725.0,0.21396253045467326,0.10175355360720628,"{""temperature"": 5.5, ""feed_rate_pct"": 0.0, ""pressure"": 0.0}"
2026-01-02T03:00:00,recommendation,recommendation,hold,ok,8.750668123059354,0.18105740513384716,False,9.163715395825786,53.70000076293945,51.49379396939281,343.0,8.750668123059354,0.18105740513384716,0.2298084985274153,0.0,0.0,0.0,,economy_vs_quality:quality_priority;stability_vs_economy:hold,,0,857.0,4725.0,0.21368585372147997,0.09844411135445408,"{""temperature"": 5.5, ""feed_rate_pct"": 0.0, ""pressure"": 0.0}"
2026-01-02T09:00:00,recommendation,recommendation,hold,ok,8.784636406633593,0.18502057421455786,False,9.190795812698589,53.70000076293945,51.484530639105344,343.0,8.784636406633593,0.18502057421455786,0.23256663250765872,0.0,0.0,0.0,,economy_vs_quality:quality_priority;stability_vs_economy:hold,,0,834.0,4725.0,0.22110203536080292,0.13044121927692243,"{""temperature"": 3.5, ""feed_rate_pct"": 0.0, ""pressure"": 0.0}"
2026-01-02T15:00:00,recommendation,recommendation,hold,ok,8.71177537176078,0.17410894052214954,False,8.780960025590206,53.70000076293945,51.47530587974497,344.0,8.71177537176078,0.17410894052214954,0.2261336130386177,0.0,0.0,0.0,,economy_vs_quality:quality_priority;stability_vs_economy:hold,,0,888.0,4725.0,0.2067354431359936,0.0985904046000502,"{""temperature"": 5.0, ""feed_rate_pct"": 0.0, ""pressure"": 0.0}"
2026-01-02T21:00:00,recommendation,recommendation,hold,ok,8.84252230742472,0.1969146409459276,False,9.243948176424075,53.70000076293945,51.46611921347855,344.0,8.84252230742472,0.1969146409459276,0.24860764212425182,0.0,0.0,0.0,,economy_vs_quality:quality_priority;stability_vs_economy:hold,,0,798.0,4725.0,0.23597288906792988,0.12741024691616265,"{""temperature"": 4.5, ""feed_rate_pct"": 0.0, ""pressure"": 0.0}"
2026-01-03T03:00:00,recommendation,recommendation,hold,ok,8.57238871551411,0.14558632810488592,False,8.521455547332017,53.70000076293945,51.45697017225817,344.0,8.57238871551411,0.14558632810488592,0.192548490044584,0.0,0.0,0.0,,economy_vs_quality:quality_priority;stability_vs_economy:hold,,0,1038.0,4725.0,0.178958472032469,0.09671431369519401,"{""temperature"": 5.5, ""feed_rate_pct"": 1.0, ""pressure"": 0.0}"
2026-01-03T09:00:00,recommendation,recommendation,hold,ok,8.795836186891162,0.18632392339436288,False,9.04412271248416,53.70000076293945,51.447858297542965,344.0,8.795836186891162,0.18632392339436288,0.23463184165633738,0.0,0.0,0.0,,economy_vs_quality:quality_priority;stability_vs_economy:hold,,0,826.0,4725.0,0.22462971391461928,0.0991267657547118,"{""temperature"": 6.0, ""feed_rate_pct"": 0.0, ""pressure"": 0.0}"
